Date,Close,High,Low,Open
6-30-2016,244.25,244.25,239.94,239.94
5-31-2016,240.07,241.09,239.26,239.65
4-30-2016,240.11,240.27,238.85,239.14
3-31-2016,239.19,239.19,236.06,236.21
2-29-2016,237.01,237.37,234.84,234.84
1-31-2016,235.31,235.31,232.50,232.54
12-31-2015,232.22,233.68,231.77,233.68
11-30-2015,232.98,233.41,231.75,233.41
10-31-2015,233.64,234.86,233.38,233.56
9-30-2015,233.41,233.46,231.27,232.14
8-31-2015,231.94,233.64,231.55,232.79
7-31-2015,232.26,232.26,229.93,229.93
6-30-2015,230.80,232.18,229.36,232.18
5-31-2015,233.15,233.15,231.56,232.96
4-30-2015,233.67,235.45,233.67,235.01
3-31-2015,234.37,234.64,231.20,232.58
2-28-2015,233.31,235.35,231.61,235.35
1-31-2015,235.28,235.28,231.26,231.26
12-31-2014,230.79,230.95,229.54,230.52
11-30-2014,230.77,230.77,228.80,229.08
10-31-2014,229.20,231.06,227.74,228.06
9-30-2014,227.04,228.38,226.03,228.38
8-31-2014,228.43,228.43,226.57,226.57
7-31-2014,226.09,226.98,225.36,226.23
6-30-2014,226.73,226.73,225.01,225.90
5-31-2014,226.58,226.82,224.46,224.48
4-30-2014,224.01,224.01,221.60,222.01
3-31-2014,222.21,223.07,221.35,223.07
2-28-2014,222.69,222.75,221.06,222.24
1-31-2014,221.47,221.47,218.51,218.57
12-31-2013,218.41,219.46,218.20,219.06
11-30-2013,219.60,220.12,218.61,219.91
10-31-2013,220.51,220.77,218.45,218.50
9-30-2013,218.74,218.86,214.27,216.57
8-31-2013,216.62,218.07,214.87,216.60
7-31-2013,217.73,218.45,215.17,217.53
6-30-2013,217.41,220.71,215.71,220.69
5-31-2013,220.60,224.83,220.60,224.79
4-30-2013,224.51,224.52,222.49,222.59
3-31-2013,222.40,222.49,221.10,222.45
2-28-2013,222.26,222.26,221.02,221.12
1-31-2013,221.27,222.50,221.13,222.27
12-31-2012,222.76,223.24,221.85,222.92
11-30-2012,222.98,223.10,222.23,222.43
10-31-2012,222.67,222.67,221.69,222.43
9-30-2012,222.27,222.46,220.62,221.77
8-31-2012,221.87,221.87,219.44,221.34
7-31-2012,221.66,221.86,219.12,219.43
6-30-2012,218.71,219.12,217.89,219.01
5-31-2012,218.45,218.45,216.51,216.51
4-30-2012,216.74,216.74,214.01,214.70
3-31-2012,214.51,215.75,213.22,215.20
2-29-2012,215.51,215.67,214.57,215.24
1-31-2012,215.48,215.48,213.13,213.27
12-31-2011,213.70,213.73,211.18,211.18
11-30-2011,211.48,212.75,211.48,212.75
10-31-2011,211.77,212.36,209.62,212.36
9-30-2011,211.40,213.16,210.61,210.79
8-31-2011,210.16,211.27,207.62,207.62
7-31-2011,207.10,207.10,203.90,203.90
6-30-2011,204.12,205.83,204.12,205.30
5-31-2011,204.62,204.62,202.17,202.17
4-30-2011,202.07,202.07,199.01,199.58
3-31-2011,199.60,201.20,198.31,199.56
2-28-2011,199.49,199.49,196.59,198.66
1-31-2011,199.13,199.39,197.69,198.78
12-31-2010,198.89,200.42,196.62,199.72
11-30-2010,200.99,203.20,200.21,202.16
10-31-2010,202.14,202.60,201.28,201.28
9-30-2010,201.27,201.53,199.22,200.47
8-31-2010,201.10,201.10,198.29,198.29
7-31-2010,198.63,198.63,196.22,196.61
6-30-2010,196.54,196.54,193.28,193.59
5-31-2010,193.55,194.27,191.53,191.53
4-30-2010,191.86,191.86,188.71,189.77
3-31-2010,190.02,190.86,189.48,190.13
2-28-2010,190.21,190.21,188.57,189.20
1-31-2010,189.49,189.49,186.91,186.91
12-31-2009,186.63,189.35,186.53,189.35
11-30-2009,189.74,189.74,186.51,187.18
10-31-2009,187.35,187.60,185.98,187.07
9-30-2009,186.38,186.45,184.41,184.60
8-31-2009,184.41,184.41,181.07,181.91
7-31-2009,182.61,182.61,179.89,179.89
6-30-2009,179.83,179.94,176.34,177.89
5-31-2009,179.10,180.03,177.40,177.90
4-30-2009,178.06,178.44,176.48,177.48
3-31-2009,177.32,177.32,174.56,175.17
2-28-2009,174.64,176.74,174.61,175.94
1-31-2009,175.32,177.82,175.31,175.67
12-31-2008,176.51,176.87,171.35,171.35
11-30-2008,170.78,170.78,165.61,165.61
10-31-2008,164.90,170.81,164.90,169.22
9-30-2008,168.74,173.06,168.74,170.41
8-31-2008,170.39,170.46,167.80,168.85
7-31-2008,168.75,170.12,167.13,168.54
6-30-2008,168.81,169.89,166.42,169.40
5-31-2008,168.76,171.01,168.38,170.28
4-30-2008,170.12,171.03,168.88,169.81
3-31-2008,170.67,170.94,167.36,169.68
2-29-2008,169.84,170.10,166.78,169.85
1-31-2008,169.53,170.66,167.61,167.61
12-31-2007,166.56,166.62,164.53,166.62
11-30-2007,166.11,166.38,163.30,163.58
10-31-2007,162.87,163.82,161.20,161.60
9-30-2007,161.46,162.19,160.16,160.26
8-31-2007,160.19,160.47,157.97,158.21
7-31-2007,158.11,158.11,155.73,157.00
6-30-2007,156.71,156.98,154.80,156.74
5-31-2007,157.17,158.52,157.17,158.30
4-30-2007,158.36,158.37,157.15,157.66
3-31-2007,157.57,158.20,157.37,157.44
2-28-2007,157.43,157.64,155.10,155.10
1-31-2007,155.14,156.00,154.65,155.40
